Identifiant d’acte,Type d’acte,Id Personne A,Id Personne B,Commune,Date,Num Vue
96,Mariage,90,4863,64,1774-09-26,38/061
97,Mariage,91,5808,64,,n/a
98,Mariage,93,6122,26,1778-10-06,192/366
99,Mariage,93,6358,64,,n/a
100,Mariage,92,7159,26,1759-10-09,151/217
101,Mariage,84,5358,250,1911-05-30,3/009
102,Mariage,86,5811,64,1842-04-20,n/a
103,Mariage,85,6121,64,1864-08-22,n/a
104,Mariage,87,6171,323,1863-04-29,194/355
105,Mariage,88,6587,343,1852-08-16,197/359
106,Mariage,89,6942,250,1883-11-20,11/013
107,Mariage,95,4613,279,1741-02-08,91/454
108,Mariage,96,7678,205,1753-06-05,9/193
109,Mariage,94,7937,343,1812-07-01,298/419
110,Mariage,97,3900,202,1677-11-03,14/478
111,Mariage,99,5280,64,1814-01-12,220/393
112,Mariage,98,5279,64,1814-01-12,220/393
113,Mariage,100,6682,179,1878-10-30,74/109
114,Mariage,101,8061,209,1702-02-14,n/a
115,Mariage,102,8024,238,1787-01-23,7/068
116,Mariage,103,7023,42,1711-05-27,221/243
117,Mariage,104,5156,238,1875-07-31,17/151
118,Mariage,105,7478,146,1851-11-12,280/382
119,Mariage,106,5465,187,1888-11-21,27/095
120,Mariage,107,6391,363,1853-11-30,359/428
121,Mariage,108,7099,129,1776-06-18,60/404
122,Mariage,109,7880,208,1788-07-29,n/a
123,Mariage,109,7879,129,1788-07-29,28/149
124,Mariage,110,4916,233,1787-02-06,142/204
125,Mariage,112,6371,347,1675-07-30,n/a
126,Mariage,113,7126,64,1815-10-18,n/a
127,Mariage,114,7127,64,1815-10-18,n/a
128,Mariage,115,5157,208,1780-08-29,n/a
129,Mariage,116,5362,64,1786-02-27,8/225
130,Mariage,118,3764,267,1680-05-15,n/a
131,Mariage,117,4986,267,1691-07-01,n/a
132,Mariage,119,5557,279,1782-10-15,120/229
133,Mariage,119,7085,279,,62/112
134,Mariage,121,5631,200,1814-04-26,97/554
135,Mariage,122,3990,200,1846-09-14,330/432
136,Mariage,123,4218,200,1879-10-20,52/147
137,Mariage,124,4093,267,1654-04-20,n/a
138,Mariage,125,5343,200,1790-09-28,241/380
139,Mariage,126,4035,347,1702-10-24,n/a
140,Mariage,127,5075,200,1740-09-13,26/308
141,Mariage,127,6708,323,1715-09-17,n/a
142,Mariage,127,8145,200,1742-10-09,81/308
143,Mariage,128,6531,238,1664-01-07,114/166
144,Mariage,129,8136,237,1625-05-20,8/022
145,Mariage,130,8150,200,1791-02-08,260/380
146,Mariage,134,3765,267,1689-01-10,n/a
147,Mariage,135,5599,86,1711-01-20,67/068
148,Mariage,131,5629,200,1882-07-17,128/147
149,Mariage,132,6709,200,1879-08-11,40/147
150,Mariage,133,4783,200,1881-09-12,98/147
151,Mariage,136,7104,222,1731-01-01,n/a
152,Mariage,137,5716,124,1772-10-20,3/010
153,Mariage,138,5094,123,1719-02-14,69/143
154,Mariage,139,6658,123,1736-11-27,170/267
155,Mariage,140,5361,200,,127/216
156,Contrat de mariage,141,7121,171,1806-09-15,n/a
157,Mariage,142,6557,238,1750-07-16,11/106
158,Mariage,143,6130,238,1751-01-12,28/106
159,Mariage,144,8104,24,1693-11-24,78/117
160,Mariage,144,8130,24,1697-10-07,98/117
161,Mariage,145,4776,45,1697-11-19,42/337
162,Mariage,145,7781,45,1839-06-18,345/543
163,Mariage,146,4631,6,1888-09-10,39/091
164,Mariage,147,3901,31,1709-07-12,73/082
165,Mariage,148,4778,272,1729-10-26,171/340
166,Mariage,148,7673,272,1742-10-24,126/180
167,Mariage,151,4443,102,1739-09-30,9/013
168,Mariage,150,4502,162,,52/109
169,Mariage,151,4779,120,1753-01-23,163/303
170,Mariage,151,5244,120,1791-03-07,188/198
171,Mariage,152,6655,320,1851-06-25,122/157
172,Mariage,149,7454,334,1746-07-05,13/099
173,Mariage,151,7923,350,1731-07-04,105/119
174,Mariage,154,4345,329,1786-01-31,64/120
175,Mariage,155,5148,81,1751-02-09,2/031
176,Mariage,153,6470,45,1768-01-20,79/304
177,Mariage,155,6656,320,1851-06-25,122/157
178,Mariage,154,6970,329,1790-01-19,105&106/120
179,Mariage,154,7151,272,1778-01-13,56/123
180,Mariage,154,7716,329,1763-11-15,21/162
181,Mariage,154,8251,350,1731-07-04,105/119
182,Mariage,156,4073,242,1782-02-05,8/058
183,Mariage,157,1976,160,1769-02-06,80/264
184,Mariage,157,4253,120,1751-05-25,154/303
185,Mariage,157,5088,120,1765-02-18,265/303
186,Mariage,157,5093,31,1719-02-07,32/167
187,Mariage,158,5430,45,1848-01-11,18/583
188,Mariage,157,6367,160,1752-06-27,14/106
189,Mariage,157,6603,160,1778-05-19,240/264
190,Mariage,159,5642,5,1903-04-22,4/059
191,Mariage,159,7200,5,1894-11-27,58/159
192,Mariage,160,4059,329,1842-04-12,81/316
193,Mariage,162,3693,62,1824-03-04,14/423
194,Mariage,161,4694,62,1863-10-21,94/111
195,Mariage,163,4551,162,1861-10-29,81/261
196,Mariage,164,4961,148,1853-04-06,346/403
197,Mariage,165,5632,303,1895-06-18,39/149
198,Mariage,166,4692,272,1766-08-12,10/216
199,Mariage,166,6421,350,1746-02-08,57/087
200,Mariage,167,5454,238,1788-01-08,2/079
201,Mariage,169,3864,219,1796-05-24,2/016
202,Mariage,168,6491,131,1758-01-31,7/019
203,Mariage,170,6614,193,1663-10-01,2/007
204,Mariage,171,5386,134,1855-10-17,6/224
205,Mariage,176,204,62,1794-11-06,19/080
206,Mariage,179,3897,278,1695-01-15,74/104
207,Mariage,178,4115,272,1768-06-14,46/216
208,Mariage,178,4537,237,1624-11-07,8/022
209,Mariage,179,4645,160,1829-06-25,154/475
210,Mariage,178,4686,272,1745-06-01,169/180
211,Mariage,178,4876,238,1659-02-24,85/166
212,Mariage,178,5252,120,1769-02-06,297/303
213,Mariage,178,5322,14,1853-01-11,200/282
214,Mariage,178,5379,16,1717-07-01,76/087
215,Mariage,177,5774,276,1711-11-25,114/131
216,Mariage,178,7366,16,1697-09-17,46/055
217,Mariage,178,7604,272,1718-01-18,62/079
218,Mariage,178,7735,272,1817-01-07,97/470
219,Mariage,178,7758,350,1789-02-17,85/127
220,Mariage,172,5966,329,1876-11-22,34/062
221,Mariage,173,4149,146,,89/120
222,Mariage,174,7748,62,1855-07-25,10/111
223,Mariage,175,7357,238,,78/095
224,Mariage,188,4016,164,1698-07-01,40/048
